,Company,Market Value (x €1.000)
2159,Silgan Holdings  Inc,826
2160,SIMMONS     FOODS   INC,2.265
2161,Simon  Property   Group  Inc,3.320
2162,SINCLAIR  TELEVISION    GROU,6.277
2163,Sirius Real Estate Ltd,1.074
2164,SIRIUS XM   HOLDINGS    INC,19.000
2165,SK Hynix  Inc,4.687
2166,Skandinaviska   Enskilda Banken   AB,6.631
2167,Sky Deutschland   AG,7.838
2168,SLM  CORP,4.086
2169,SMEDVIG    ASA,3.790
2170,Smith  International  Inc,5.032
2171,SMURFIT   KAPPA   TREASURY,5.003
2172,Snam  Spa,6.691
2173,SNCF,602
2174,SOCIETE  DU   GRAND   PARIS,4.288
2175,Societe Generale,28.924
2176,Sofina SA,4.426
2177,SOFTBANK    CORP,10.825
2178,SOGECAP    SA,3.653
2179,SOLENIS  INTERNATIONAL      LP,12.571
2180,SOUND   INPATIENT    PHYSICIA,1.297
2181,SOUTHERN     GAS  NETWORK     PLC,2.612
2182,SP Plus Corp,3.786
2183,SPCM   SA,296
2184,SPECIALTY   BUILDINGS    PROD,8.835
2185,Spectrum   Brands  Inc,7 0
2186,SPEEDWAY     MOTORSPORTS       INC,2.906
2187,SPIE SA,806
2188,SPRINT  CAPITAL   CORP,1.116
2189,SRM  ESCROW     ISSUER  LLC,6.410
2190,Staat der Nederlanden,1.661
2191,STADA   Arzneimittel  AG,7.630
2192,Standard  Charted   London,2.563
2193,Standard  Chartered   PLC,11.331
2194,STANFORD    HEALTH    CARE,424
2195,Staples Inc,2.237
2196,State of Israel,962
2197,State of Qatar,1.417
2198,STATKRAFT    AS,6.383
2199,STATNETT    SF,5.072
2200,Stedin,1.836
2201,Stellantis NV,4.719
2202,STENA   AB,3.319
2203,STONEGATE     PUB  FIN,770
2204,StoneX  Group   Inc,5.895
2205,Storm  BV,1.301
2206,STRETFORD    SEVENTY    NINE,1.606
2207,STRUCTURED     ADJUSTABLE     RATE  MOR,2 6
2208,STRUCTURED     ASSET  MORTGAGE       INVE,7 4
2209,STRUCTURED     ASSET  SECURITIES    CO,3
2210,Stryker Corp,3.971
2211,"STX Fixed  Income   B,V,",2.891
2212,STYROLUTION     GROUP    GMBH,7.136
2213,SUBURBAN     PROPANE    PARTNRS,3.288
2214,SUEZ,1.930
2215,Sumitomo    Mitsui Banking   Corp,12.701
2216,Sumitomo    Mitsui Trust  Holdings,13.732
2217,SUMMER     BC HOLDCO     B SARL,3.163
2218,SUN  COMMUNITIES,10.167
2219,Sunrise HoldCo   IV BV,2.079
2220,SUTTER   HEALTH,867
2221,Suzano  Trading  Ltd,4.798
2222,Svenska  Handelsbanken     AB,6.466
2223,Swedbank    AB,4.876
2224,SWISSCOM     AG,3.817
2225,Syensqo  SA,1.108
2226,Synthomer   PLC,2.245
2227,TALOS  PRODUCTION      INC,6.247
2228,TD Bank  US  Holding  Co,3.842
2229,TDF Infrastructure   SAS,6.931
2230,TEAMSYSTEM      HLDG   SPA,1.774
2231,TEIDE  LTD,595
2232,TELE COLUMBUS      AG,1.465
2233,TELEFONICA    EUROPE    BV,32.901
2234,TELENET   FINANCE   LUX,1.513
2235,TELUS  CORP,1.411
2236,Tema  Pharmaceutical,5.424
2237,Temasek   Financial I Ltd,5.109
2238,TENET  HEALTHCARE      CORP,9.607
2239,Tenneco   Inc,4.893
2240,Tennet  BV,19.992
2241,TEREGA   SASU,4.386
2242,TEREX  CORP,2.524
2243,TERNA   SPA,2.239
2244,TESCO  PLC,2.731
2245,TESCO  PROPERTY     FIN,2
2246,TEXAS  HEALTH    RESOURCES,840
2247,TEXAS  ST TRANSPRTN     COMMISSIONS,772
2248,THE  DOCTORS    CO,1.833
2249,The Weir  Group   Plc,3.262
2250,Thermo   Fisher Scientific Inc,4.059
2251,THFC  FUNDING    NO,3
2252,THOM   EUROPE    SAS,2.365
2253,TIBCO  Software   Inc,7.505
2254,Ticketmaster   Entertainment   Inc,5.139
2255,TIM  SPA,17.483
2256,Tokyo  Metropolitan   Govt,2.308
2257,Toronto  Dominion    Bank,332
2258,Toyota  Motor   Corp,4.109
2259,TP ICAP  PLC,2.275
2260,Trane  Inc,1.439
2261,TRANSDIGM     INC,21.092
2262,Transocean   Ltd,11.193
2263,Transurban   Group,2.399
2264,TRATON    FINANCE   LUXEMBRG,5.698
2265,TREASURY    BILL,98.289
2266,TriNet Group   Inc,2.477
2267,TRIVIUM   PACKAGING     FIN,6.807
2268,TRONOX    FINANCE   LLC,642
2269,TRUIST  BANK,6.360
2270,TUI AG,1.813
2271,TUI CRUISES   GMBH,4.518
2272,Twilio Inc,3.398
2273,UBER  TECHNOLOGIES      INC,7.908
2274,UBS,53.880
2275,UCB  SA,6.016
2276,UDR  Inc,2.622
2277,ULTIMATE    SOFTWARE     GROUP    INC,8.232
2278,UNICREDIT   BK  AUSTRIA   AG,1.618
2279,UniCredit  SpA,14.246
2280,UNITED   AIRLINES  INC,11.906
2281,UNITED   MEXICAN    STATES,19.058
2282,United  States Treasury,3.509
2283,UNITED   UTILIT WATER    PLC,3.823
2284,UNITED   WHOLESALE     MTGE    LL,1.596
2285,Unitedhealth   Group  Inc,15.976
2286,UNIV  OF  CALIFORNIA    CA  RGTS  MED,335
2287,UNIV  OF  MICHIGAN    MI,4.895
2288,Univ Of  Southern  Califor,465
2289,UNIV  OF  VIRGINIA   VA UNIV   REVEN,185
2290,UNIVAR   SOLUTIONS     USA  INC,2.952
2291,UNIVERSITY   OF  CHICAGO,555
2292,UNIVERSITY   OF  OXFORD,711
2293,University of Pennsylvania,1.434
2294,UNIVISION   COMMUNICATIONS,7.236
2295,Unum   Group,5.076
2296,Upbound    Group  Inc,6.032
2297,UPJOHN    FINANCE   BV,7.952
2298,UPMC   HEALTH    SYSTEM,584
2299,US ACUTE   CARE   SOLUTIONS,2.093
2300,US BANK   NA,198
2301,UWM    HOLDINGS    LLC,3.399
2302,Valeo SA,7.429
2303,VARSITY  BRANDS    LLC,657
2304,VELOCITY   VEHICLE   GROUP,4.406
2305,Ventas  Inc,2.000
2306,VENTURE    GLOBAL   LNG   INC,22.409
2307,Verallia SA,1.403
2308,VERALTO    CORP,992
2309,Verbund   AG,624
2310,VERISURE   HOLDING    AB,20.177
2311,Verizon  Communications,20.909
2312,VERTICAL   HOLDCO    GMBH,1.197
2313,VERTIV  GROUP    CORP,5.335
2314,VESTEDA   FINANCE    BV,506
2315,VF Corp,2.171
2316,VIA OUTLETS    BV,1.137
2317,VIASAT  INC,7.700
2318,VICI PROP,1
2319,VICTORIA   PLC,1.282
2320,Victra Holdings,5.087
2321,Vier Gas Transport   Gmbh,5.686
2322,VILMORIE   ET  COMP,2.352
2323,VIRGIN  MEDIA   FINANCE    PLC,52.907
2324,VIRGIN  MONEY    UK  PLC,15.432
2325,VIVION  INVESTMENTS,1.595
2326,"VMWARE,     INC,",7.116
2327,Vodafone   Group   PLC,16.408
2328,Volvo  AB,3.260
2329,Voyage  Bidco  Ltd,801
2330,VT TOPCO    INC,7.203
2331,VULCAN   MATERIALS     CO,255
2332,VW  Credit  Inc,68.184
2333,Walgreens   Boots  Alliance Inc,2.852
2334,WAND    NEWCO,3
2335,Warner   Bros Discovery   Inc,5.491
2336,WASH   MULTIFAMILY     LAUNDRY     SYS,5.801
2337,WASHINGTON      UNIVERSITY,1.933
2338,WAYNE    MERGER    SUB  LLC,13.568
2339,WEATHERFORD       INTERNATIONA,6.074
2340,Weight  Watchers    International,1.154
2341,WEIGHT   WATCHERS      INTL INC,2.268
2342,Wellington  Management      International  Ltd,5.468
2343,WELLS  FARGO    COMMERCIAL      MORTGAG,3.781
2344,"Wells Fargo  Securities  Europe  S,A,",5 8
2345,WEPA   HYGIENEPRODUKTE        GMB,1.921
2346,WERFENLIFE    SA,1.394
2347,WESCO   DISTRIBUTION     INC,8.873
2348,Wesfarmers    Ltd,1.068
2349,WESSEX   WATER    SERVS  FIN,3.436
2350,Western   Gas Partners,8.716
2351,WEYERHAEUSER       CO,4.444
2352,WEYERHAEUSER       REAL  ESTATE,4.350
2353,WHATABRANDS       LLC,1.190
2354,WILLIAMS   COS   INC,10.999
2355,WILLIAMS   SCOTSMAN      INTL,6.557
2356,WIPRO   IT SERVICE,4.570
2357,WM   Morrison   Supermarkets    PLC,7.356
2358,WORKSPACE     GROUP    PLC,2.979
2359,WorleyParsons    Ltd,677
2360,WP  Carey  Inc,9.526
2361,WR  Berkley  Corp,1.940
2362,WYNN    RESORTS   FINANCE    LLC,6.919
2363,Xerox  Corp,5.240
2364,XPLR  INFRAST   OPERATING,2.807
2365,Xylem  Inc,998
2366,Yale University,942
2367,Yamana   Gold  Inc,6.338
2368,Yara International  Asa,4.193
2369,ZAYO  GROUP    HOLDINGS    INC,215
2370,ZAYO  GROUP    LLC,4.294
2371,ZEGONA    FINANCE   PLC,3.727
2372,ZF NA  CAPITAL,24.117
2373,ZIGGO  BOND    CO,16.143
2374,ZIPRECRUITER    INC,3.936
2375,ZUERCHER    KANTONALBANK,2.521
2376,LIMA  METRO    LINE,2
2377,NBK  TIER,1
